Toehold switch number,ON/OFF,Probability,loop_number,toehold_length,stem_length,loop_size,end_length,MFE
1,292,0.362,0,0,0,0,20,0
2,279.6,0.823,1,6,4,5,1,-2.6
3,265.3,0.512,1,5,4,7,0,-0.5
4,264.6,0.537,1,3,5,6,1,-1.2
5,253,0.419,1,2,4,10,0,-1.3
6,219.8,0.491,0,0,0,0,20,0
7,213.3,0.804,2,2,5,7,1,-2.6
8,200.8,0.727,1,2,3,8,4,-3.1
9,194.4,0.611,1,7,3,5,2,-1.7
10,192.4,0.515,1,2,4,7,3,-1.8
11,181.2,0.306,0,0,0,0,20,0
12,169.9,0.334,0,0,0,0,20,0
13,155.3,0.625,1,2,3,8,4,-0.8
14,153.4,0.362,1,4,4,6,2,-0.3
15,124.7,0.473,1,1,4,8,3,-2.1
16,123.2,0.537,0,0,0,0,20,0
17,122.6,0.295,1,2,2,13,1,-0.4
18,115.1,0.311,0,0,0,0,20,0
19,103.5,0.277,0,0,0,0,20,0
20,101.9,0.525,1,4,4,5,3,-1.4
40,48.6,0.468,2,0,5,8,2,-1.4
41,48.3,0.309,1,2,2,10,4,-0.4
42,44.7,0.507,1,4,6,3,1,-1.3
43,42.4,0.452,0,0,0,0,20,0
44,41.5,0.469,1,0,2,13,3,-1.3
45,41.4,0.55,2,7,3,5,2,-1.5
46,40.5,0.593,0,0,0,0,20,0
47,39.6,0.745,1,11,2,4,1,-1
48,39.1,0.488,1,0,5,10,0,-0.8
49,38.7,0.8,1,11,2,4,1,-1.2
50,38.2,0.667,1,2,3,8,4,-1.1
51,37.6,0.332,0,0,0,0,20,0
52,37.3,0.197,2,0,5,7,3,-0.1
53,36.8,0.346,1,10,1,4,4,-0.1
54,36.4,0.577,0,0,0,0,20,0
55,33.9,0.307,2,2,6,6,0,-0.9
56,33.8,0.369,1,6,2,4,6,-1.1
57,33.3,0.448,0,0,0,0,20,0
58,32.7,0.519,0,0,0,0,20,0
59,32.2,0.496,1,4,6,3,1,-1.3
60,30.2,0.523,0,0,0,0,20,0
80,19.5,0.308,2,2,5,5,3,-0.2
81,18.8,0.299,1,1,2,13,2,-1
82,18.7,0.826,1,7,4,4,1,-2.4
83,18.6,0.491,1,1,4,6,5,-1.2
84,18.4,0.197,2,1,4,10,1,-0.6
85,18.4,0.671,0,0,0,0,20,0
86,18,0.546,1,12,2,4,0,-0.3
87,18,0.611,0,0,0,0,20,0
