,toehold switch,,,,,,,,RNA input,,,,,,
Toehold switch number,ON/OFF,Probability,loop_number,toehold_length,stem_length,loop_size,end_length,MFE,Probability2,loop_number2,toehold_length2,stem_length2,loop_size2,end_length2,MFE2
1,292,0.362,0,0,0,0,20,0,0.53,1,5,4,5,1,-2.4
2,279.6,0.823,1,6,4,5,1,-2.6,0.771,1,0,3,3,10,-3.4
3,265.3,0.512,1,5,4,7,0,-0.5,0.61,1,3,4,3,5,-2.7
4,264.6,0.537,1,3,5,6,1,-1.2,0.347,2,0,4,7,4,-1.9
5,253,0.419,1,2,4,10,0,-1.3,0.534,1,5,2,5,5,-2.4
6,219.8,0.491,0,0,0,0,20,0,0.602,1,0,4,5,6,-3.1
7,213.3,0.804,2,2,5,7,1,-2.6,0.344,1,2,4,9,0,-2
8,200.8,0.727,1,2,3,8,4,-3.1,0.67,1,5,3,4,4,-3.2
9,194.4,0.611,1,7,3,5,2,-1.7,0.232,1,9,3,3,1,-2.4
10,192.4,0.515,1,2,4,7,3,-1.8,0.347,2,0,4,7,4,-1.9
11,181.2,0.306,0,0,0,0,20,0,0.733,1,0,3,8,5,-3.9
12,169.9,0.334,0,0,0,0,20,0,0.437,1,5,4,4,2,-2.4
13,155.3,0.625,1,2,3,8,4,-0.8,0.485,1,7,2,4,4,-1.1
14,153.4,0.362,1,4,4,6,2,-0.3,0.347,2,0,4,7,4,-1.9
15,124.7,0.473,1,1,4,8,3,-2.1,0.427,1,6,3,4,3,-2.3
16,123.2,0.537,0,0,0,0,20,0,0.487,1,0,3,7,6,-1.2
17,122.6,0.295,1,2,2,13,1,-0.4,0.467,1,0,4,6,5,-2
18,115.1,0.311,0,0,0,0,20,0,0.421,1,0,3,3,10,-1.4
19,103.5,0.277,0,0,0,0,20,0,0.492,2,1,5,7,1,-1.9
20,101.9,0.525,1,4,4,5,3,-1.4,0.56,1,2,3,8,3,-3.1
40,48.6,0.468,2,0,5,8,2,-1.4,0.375,2,1,6,4,2,-5.7
41,48.3,0.309,1,2,2,10,4,-0.4,0.193,0,0,0,0,19,0
42,44.7,0.507,1,4,6,3,1,-1.3,0.347,2,0,4,7,4,-1.9
43,42.4,0.452,0,0,0,0,20,0,0.316,1,2,3,9,2,-2.5
44,41.5,0.469,1,0,2,13,3,-1.3,0.336,2,0,3,7,6,-2.7
45,41.4,0.55,2,7,3,5,2,-1.5,0.414,2,1,6,5,1,-4.3
46,40.5,0.593,0,0,0,0,20,0,0.347,2,0,4,7,4,-1.9
47,39.6,0.745,1,11,2,4,1,-1,0.322,2,0,6,7,0,-3
48,39.1,0.488,1,0,5,10,0,-0.8,0.347,2,0,4,7,4,-1.9
49,38.7,0.8,1,11,2,4,1,-1.2,0.581,2,1,4,10,0,-0.9
50,38.2,0.667,1,2,3,8,4,-1.1,0.645,1,1,3,5,7,-2.7
51,37.6,0.332,0,0,0,0,20,0,0.348,1,0,3,13,0,-2.2
52,37.3,0.197,2,0,5,7,3,-0.1,0.931,1,0,7,3,2,-8.7
53,36.8,0.346,1,10,1,4,4,-0.1,0.605,2,1,4,8,2,-3.6
54,36.4,0.577,0,0,0,0,20,0,0.331,1,2,2,5,8,-0.3
55,33.9,0.307,2,2,6,6,0,-0.9,0.347,2,0,4,7,4,-1.9
56,33.8,0.369,1,6,2,4,6,-1.1,0.347,2,0,4,7,4,-1.9
57,33.3,0.448,0,0,0,0,20,0,0.195,0,0,0,0,19,0
58,32.7,0.519,0,0,0,0,20,0,0.433,1,1,3,9,3,-1.5
59,32.2,0.496,1,4,6,3,1,-1.3,0.347,2,0,4,7,4,-1.9
60,30.2,0.523,0,0,0,0,20,0,0.48,1,3,4,6,2,-1.7
80,19.5,0.308,2,2,5,5,3,-0.2,0.567,1,0,4,8,3,-3.3
81,18.8,0.299,1,1,2,13,2,-1,0.628,1,0,5,7,2,-2.6
82,18.7,0.826,1,7,4,4,1,-2.4,0.447,1,1,3,7,5,-2.6
83,18.6,0.491,1,1,4,6,5,-1.2,0.209,2,3,3,8,2,-0.2
84,18.4,0.197,2,1,4,10,1,-0.6,0.251,2,0,6,5,2,-2.6
85,18.4,0.671,0,0,0,0,20,0,0.575,1,2,3,5,6,-1
86,18,0.546,1,12,2,4,0,-0.3,0.928,1,1,3,6,6,-3.8
87,18,0.611,0,0,0,0,20,0,0.514,1,2,3,3,8,-2.3
88,17.7,0.562,0,0,0,0,20,0,0.347,2,0,4,7,4,-1.9
89,17.4,0.431,1,2,2,11,3,-0.4,0.219,1,3,3,6,4,-1.9
90,17.2,0.259,0,0,0,0,20,0,0.648,1,4,3,3,6,-4.1
91,16.9,0.591,1,2,6,3,3,-3.2,0.523,2,2,4,7,2,-1.4
92,16.9,0.607,0,0,0,0,20,0,0.128,1,3,2,5,7,-0.3
93,16.9,0.511,1,9,2,4,3,-1,0.552,1,3,3,5,5,-2.3
94,16.6,0.306,1,4,4,8,0,-0.1,0.829,1,3,4,3,5,-3.1
95,16.2,0.755,1,1,4,7,4,-2.3,0.894,1,1,4,6,4,-6.4
96,16.1,0.387,1,2,4,7,3,-1,0.327,1,0,3,3,10,-1.9
97,16,0.433,1,1,4,8,3,-1.6,0.341,1,10,3,3,0,-0.5
98,15.7,0.396,1,6,4,6,0,-0.4,0.732,1,1,3,3,9,-2.6
99,15.2,0.585,0,0,0,0,20,0,0.65,2,0,5,5,4,-2.9
100,13.6,0.825,1,9,3,4,1,-1.4,0.521,1,2,3,9,2,-3
21,86.6,0.517,1,8,3,5,1,-0.9,0.475,1,0,3,5,8,-2.4
22,83.1,0.244,2,0,4,9,3,-0.1,0.561,1,8,3,3,2,-3.2
23,75.2,0.36,1,6,2,7,3,-0.7,0.434,2,1,5,6,2,-4.7
24,74.8,0.18,2,5,4,7,0,-0.1,0.341,2,1,4,7,3,-2.2
25,72.6,0.249,0,0,0,0,20,0,0.634,1,1,4,3,7,-3.5
26,68.2,0.349,0,0,0,0,20,0,0.261,1,5,2,6,4,-0.4
27,67.3,0.851,1,9,3,4,1,-1.6,0.433,1,0,4,7,4,-2.1
28,66.9,0.47,1,2,3,8,4,-1.6,0.873,1,0,4,4,7,-3.1
29,63.1,0.252,1,5,4,7,0,-0.4,0.401,2,0,4,6,5,-3.9
30,63,0.6,0,0,0,0,20,0,0.487,1,0,2,13,2,-1.3
